datum;kraj_nuts_kod;kraj_nazev;kraj_populace;kumulativni_pocet_nakazenych
2020-10-01 00:00:00;CZ010;Hlavní město Praha;1335084;15200
2021-01-01 00:00:00;CZ010;Hlavní město Praha;1335084;80645
2021-04-01 00:00:00;CZ010;Hlavní město Praha;1335084;169535
2021-07-01 00:00:00;CZ010;Hlavní město Praha;1335084;181885
2021-10-01 00:00:00;CZ010;Hlavní město Praha;1335084;188022
2020-10-01 00:00:00;CZ020;Středočeský kraj;1397997;10038
2021-01-01 00:00:00;CZ020;Středočeský kraj;1397997;94002
2021-04-01 00:00:00;CZ020;Středočeský kraj;1397997;214247
2021-07-01 00:00:00;CZ020;Středočeský kraj;1397997;227833
2021-10-01 00:00:00;CZ020;Středočeský kraj;1397997;231663
2020-10-01 00:00:00;CZ031;Jihočeský kraj;643551;2906
2021-01-01 00:00:00;CZ031;Jihočeský kraj;643551;41908
2021-04-01 00:00:00;CZ031;Jihočeský kraj;643551;88825
2021-07-01 00:00:00;CZ031;Jihočeský kraj;643551;98696
2021-10-01 00:00:00;CZ031;Jihočeský kraj;643551;100200
2020-10-01 00:00:00;CZ032;Plzeňský kraj;591041;3687
2021-01-01 00:00:00;CZ032;Plzeňský kraj;591041;38321
2021-04-01 00:00:00;CZ032;Plzeňský kraj;591041;93108
2021-07-01 00:00:00;CZ032;Plzeňský kraj;591041;97567
2021-10-01 00:00:00;CZ032;Plzeňský kraj;591041;99223
2020-10-01 00:00:00;CZ041;Karlovarský kraj;293311;1656
2021-01-01 00:00:00;CZ041;Karlovarský kraj;293311;15249
2021-04-01 00:00:00;CZ041;Karlovarský kraj;293311;43977
2021-07-01 00:00:00;CZ041;Karlovarský kraj;293311;45083
2021-10-01 00:00:00;CZ041;Karlovarský kraj;293311;45684
2020-10-01 00:00:00;CZ042;Ústecký kraj;817004;3329
2021-01-01 00:00:00;CZ042;Ústecký kraj;817004;49692
2021-04-01 00:00:00;CZ042;Ústecký kraj;817004;111317
2021-07-01 00:00:00;CZ042;Ústecký kraj;817004;122737
2021-10-01 00:00:00;CZ042;Ústecký kraj;817004;123955
2020-10-01 00:00:00;CZ051;Liberecký kraj;442476;2335
2021-01-01 00:00:00;CZ051;Liberecký kraj;442476;32497
2021-04-01 00:00:00;CZ051;Liberecký kraj;442476;75688
2021-07-01 00:00:00;CZ051;Liberecký kraj;442476;80530
2021-10-01 00:00:00;CZ051;Liberecký kraj;442476;81204
2020-10-01 00:00:00;CZ052;Královéhradecký kraj;550803;2341
2021-01-01 00:00:00;CZ052;Královéhradecký kraj;550803;41695
2021-04-01 00:00:00;CZ052;Královéhradecký kraj;550803;101879
2021-07-01 00:00:00;CZ052;Královéhradecký kraj;550803;104465
2021-10-01 00:00:00;CZ052;Královéhradecký kraj;550803;105056
2020-10-01 00:00:00;CZ053;Pardubický kraj;522856;2847
2021-01-01 00:00:00;CZ053;Pardubický kraj;522856;37520
2021-04-01 00:00:00;CZ053;Pardubický kraj;522856;87014
2021-07-01 00:00:00;CZ053;Pardubický kraj;522856;92889
2021-10-01 00:00:00;CZ053;Pardubický kraj;522856;93781
2020-10-01 00:00:00;CZ063;Kraj Vysočina;508852;2978
2021-01-01 00:00:00;CZ063;Kraj Vysočina;508852;38922
2021-04-01 00:00:00;CZ063;Kraj Vysočina;508852;71748
2021-07-01 00:00:00;CZ063;Kraj Vysočina;508852;79298
2021-10-01 00:00:00;CZ063;Kraj Vysočina;508852;80126
2020-10-01 00:00:00;CZ064;Jihomoravský kraj;1195327;6527
2021-01-01 00:00:00;CZ064;Jihomoravský kraj;1195327;69581
2021-04-01 00:00:00;CZ064;Jihomoravský kraj;1195327;142233
2021-07-01 00:00:00;CZ064;Jihomoravský kraj;1195327;155386
2021-10-01 00:00:00;CZ064;Jihomoravský kraj;1195327;157781
2020-10-01 00:00:00;CZ071;Olomoucký kraj;630522;3644
2021-01-01 00:00:00;CZ071;Olomoucký kraj;630522;44606
2021-04-01 00:00:00;CZ071;Olomoucký kraj;630522;84922
2021-07-01 00:00:00;CZ071;Olomoucký kraj;630522;93082
2021-10-01 00:00:00;CZ071;Olomoucký kraj;630522;93959
2020-10-01 00:00:00;CZ072;Zlínský kraj;580119;3525
2021-01-01 00:00:00;CZ072;Zlínský kraj;580119;50077
2021-04-01 00:00:00;CZ072;Zlínský kraj;580119;82007
2021-07-01 00:00:00;CZ072;Zlínský kraj;580119;91376
2021-10-01 00:00:00;CZ072;Zlínský kraj;580119;92282
2020-10-01 00:00:00;CZ080;Moravskoslezský kraj;1192834;8561
2021-01-01 00:00:00;CZ080;Moravskoslezský kraj;1192834;87304
2021-04-01 00:00:00;CZ080;Moravskoslezský kraj;1192834;161672
2021-07-01 00:00:00;CZ080;Moravskoslezský kraj;1192834;177792
2021-10-01 00:00:00;CZ080;Moravskoslezský kraj;1192834;180492
