orp_code;orp_name
6404;Břeclav
8017;Opava
2013;Lysá nad Labem
2025;Vlašim
8011;Karviná
6414;Rosice
6421;Židlochovice
8005;Frenštát pod Radhoštěm
6403;Brno
6308;Nové Město na Moravě
2008;Hořovice
8012;Kopřivnice
6406;Hodonín
2022;Říčany
8015;Nový Jičín
2018;Nymburk
8002;Bohumín
8007;Frýdlant nad Ostravicí
6311;Světlá nad Sázavou
2016;Mnichovo Hradiště
6309;Pacov
6405;Bučovice
6312;Telč
8021;Třinec
8019;Ostrava
8001;Bílovec
8010;Jablunkov
6410;Kyjov
8020;Rýmařov
2012;Kutná Hora
6306;Moravské Budějovice
2006;Český Brod
8003;Bruntál
2017;Neratovice
6409;Kuřim
2002;Beroun
2014;Mělník
6310;Pelhřimov
2009;Kladno
6407;Hustopeče
6408;Ivančice
2010;Kolín
2021;Rakovník
8006;Frýdek-Místek
6301;Bystřice nad Pernštejnem
6419;Vyškov
8009;Hlučín
6416;Šlapanice
2003;Brandýs nad Labem-Stará Boleslav
6303;Humpolec
8008;Havířov
2005;Černošice
8022;Vítkov
6302;Havlíčkův Brod
2007;Dobříš
2004;Čáslav
6305;Jihlava
6307;Náměšť nad Oslavou
8018;Orlová
8014;Krnov
6413;Pohořelice
6417;Tišnov
6415;Slavkov u Brna
2011;Kralupy nad Vltavou
6412;Moravský Krumlov
2015;Mladá Boleslav
6418;Veselí nad Moravou
8004;Český Těšín
2024;Slaný
6401;Blansko
6402;Boskovice
6304;Chotěboř
2001;Benešov
6411;Mikulov
2026;Votice
6315;Žďár nad Sázavou
6313;Třebíč
6314;Velké Meziříčí
8016;Odry
2020;Příbram
2019;Poděbrady
8013;Kravaře
6420;Znojmo
2023;Sedlčany
